Employee_ID,Job_Role,Age,Gender,Monthly_Income,Job_Satisfaction,Work_Life_Balance,Years_at_Company
EMP-00012,Manager,33,Male,5940,2,1,4
EMP-00039,Manager,31,Male,6156,1,3,8
EMP-00041,Manager,29,Male,7795,2,2,8
EMP-00048,Software Engineer,41,Female,9514,3,2,17
EMP-00050,HR Specialist,45,Female,8233,3,1,17
EMP-00055,Manager,31,Male,6044,4,2,10
EMP-00064,HR Specialist,33,Male,6358,2,4,9
EMP-00074,Sales Executive,39,Male,8252,4,2,16
EMP-00076,Software Engineer,48,Female,7911,2,3,24
EMP-00096,Analyst,37,Male,6366,3,1,11
EMP-00098,Manager,43,Female,7996,3,4,14
EMP-00101,Analyst,47,Male,10230,3,3,18
EMP-00104,Software Engineer,32,Male,7690,2,4,11
EMP-00105,Manager,40,Male,5971,2,2,9
EMP-00115,Analyst,37,Male,7115,2,2,17
EMP-00117,Software Engineer,39,Female,9843,2,1,15
EMP-00121,Software Engineer,44,Female,7959,4,4,22
EMP-00130,HR Specialist,58,Female,12422,4,2,34
EMP-00142,Analyst,33,Female,7051,1,2,12
EMP-00144,Analyst,41,Female,8407,2,3,19
EMP-00154,Analyst,43,Male,11503,3,3,18
EMP-00171,HR Specialist,31,Female,7448,2,2,9
EMP-00176,Software Engineer,40,Female,7902,2,3,16
EMP-00183,Sales Executive,37,Female,7276,3,4,10
EMP-00186,HR Specialist,29,Male,5165,1,2,6
EMP-00199,Sales Executive,28,Male,8804,2,1,4
EMP-00208,Software Engineer,30,Male,4909,1,3,7
EMP-00215,Data Scientist,41,Female,9401,4,3,19
EMP-00217,Data Scientist,27,Female,4111,1,2,6
EMP-00221,HR Specialist,38,Male,7324,4,4,17
EMP-00223,HR Specialist,38,Male,7991,3,1,17
EMP-00230,HR Specialist,32,Male,8628,3,4,12
EMP-00236,HR Specialist,45,Female,12261,2,2,17
EMP-00259,Data Scientist,32,Male,8611,1,4,10
EMP-00271,Data Scientist,48,Female,10239,1,3,13
EMP-00275,Data Scientist,36,Female,7565,1,2,12
EMP-00278,Software Engineer,40,Male,8294,3,2,15
EMP-00280,Manager,43,Female,10232,1,2,16
EMP-00285,Software Engineer,41,Male,10965,2,1,18
EMP-00289,HR Specialist,42,Female,8815,3,3,15
EMP-00294,Analyst,38,Male,8355,3,4,15
EMP-00296,Analyst,34,Female,7784,1,2,6
EMP-00297,Analyst,55,Male,11754,2,2,25
EMP-00303,HR Specialist,33,Female,8860,3,2,10
EMP-00329,HR Specialist,37,Female,7863,2,2,14
EMP-00331,Software Engineer,34,Male,7803,4,3,10
EMP-00334,Manager,42,Male,7514,2,2,10
EMP-00337,Manager,37,Female,9314,3,2,15
EMP-00342,Data Scientist,40,Male,9470,2,3,19
EMP-00343,HR Specialist,43,Female,8191,3,1,17
EMP-00344,Sales Executive,49,Female,11183,3,2,22
EMP-00348,HR Specialist,37,Male,10640,3,1,15
EMP-00351,Data Scientist,40,Female,9321,1,2,20
EMP-00354,Manager,40,Male,7988,2,3,13
EMP-00374,HR Specialist,53,Female,12747,4,4,30
EMP-00386,Software Engineer,42,Female,8302,1,3,16
EMP-00388,Analyst,43,Male,10534,2,2,19
EMP-00389,Software Engineer,38,Male,9173,3,2,14
